Test Number,newTime,newPathLength,dijkstraTime,dijkstraPathLength,bfsTime,bfsPathLength,dfsTime,dfsPathLength,astarTime,astarPathLength
64,7.200241088867188e-05,5,0.0006000995635986328,10,0,0,5.984306335449219e-05,39,0.00010514259338378906,5
65,3.695487976074219e-05,2,0.00029921531677246094,3,0,0,4.506111145019531e-05,33,7.796287536621094e-05,2
66,0.00010895729064941406,8,0.00015687942504882812,11,0,0,2.384185791015625e-05,22,0.00011610984802246094,8
67,0.00011110305786132812,8,0.0004360675811767578,11,0,0,4.792213439941406e-05,33,0.00021004676818847656,8
68,4.887580871582031e-05,3,0.00021505355834960938,4,0,0,2.2172927856445312e-05,20,8.392333984375e-05,3
69,6.008148193359375e-05,4,0.0007548332214355469,5,0,0,9.012222290039062e-05,49,8.702278137207031e-05,4
70,4.696846008300781e-05,3,0.00023698806762695312,10,0,0,5.602836608886719e-05,33,8.106231689453125e-05,3
71,7.414817810058594e-05,5,0.00019693374633789062,10,0,0,2.9087066650390625e-05,24,0.00010395050048828125,5
72,6.198883056640625e-05,4,0.0004150867462158203,11,0,0,4.696846008300781e-05,34,9.489059448242188e-05,4
73,5.0067901611328125e-05,3,0.00020003318786621094,8,0,0,3.600120544433594e-05,23,8.606910705566406e-05,3
74,0.00010919570922851562,8,9.298324584960938e-05,9,0,0,1.5020370483398438e-05,15,0.00013399124145507812,8
75,0.0001220703125,5,0.0004930496215820312,6,0,0,6.4849853515625e-05,41,9.298324584960938e-05,5
76,5.2928924560546875e-05,3,0.00039696693420410156,8,0,0,3.600120544433594e-05,26,9.202957153320312e-05,3
77,8.106231689453125e-05,5,0.00020694732666015625,6,0,0,2.002716064453125e-05,18,0.00010895729064941406,5
78,7.200241088867188e-05,5,0.00023984909057617188,6,0,0,4.1961669921875e-05,29,9.393692016601562e-05,5
79,0.00011801719665527344,9,0.0005939006805419922,12,0,0,8.511543273925781e-05,47,0.0001418590545654297,9
80,6.103515625e-05,4,0.0003998279571533203,11,0,0,5.2928924560546875e-05,35,9.298324584960938e-05,4
81,6.794929504394531e-05,4,0.0002338886260986328,9,0,0,2.8848648071289062e-05,23,9.584426879882812e-05,4
82,8.893013000488281e-05,6,0.0005679130554199219,13,0,0,6.985664367675781e-05,35,0.00011801719665527344,6
83,0.0006079673767089844,4,0.0003800392150878906,5,0,0,0.00010395050048828125,28,0.00016999244689941406,4
84,0.00018715858459472656,4,0.0004849433898925781,11,0,0,1.1920928955078125e-05,5,0.000202178955078125,4
85,0.00014495849609375,7,0.00010395050048828125,8,0,0,2.9087066650390625e-05,18,0.00021004676818847656,7
86,4.220008850097656e-05,2,0.0004849433898925781,3,0,0,1.0967254638671875e-05,9,8.0108642578125e-05,2
87,0.00015807151794433594,5,0.0001690387725830078,8,0,0,1.3113021850585938e-05,12,0.00010013580322265625,5
88,5.0067901611328125e-05,3,0.00037384033203125,8,0,0,4.1961669921875e-05,31,8.392333984375e-05,3
89,9.298324584960938e-05,6,0.0005979537963867188,11,0,0,7.009506225585938e-05,43,0.00012183189392089844,6
90,7.891654968261719e-05,5,0.00015687942504882812,8,0,0,9.059906005859375e-06,8,0.00011205673217773438,5
91,9.083747863769531e-05,6,0.0002071857452392578,11,0,0,2.8848648071289062e-05,23,0.00011610984802246094,6
92,0.00010895729064941406,8,0.0003960132598876953,11,0,0,4.601478576660156e-05,33,0.00017499923706054688,8
93,0.00010204315185546875,5,0.0005030632019042969,16,0,0,5.412101745605469e-05,36,9.489059448242188e-05,5
94,5.2928924560546875e-05,3,7.009506225585938e-05,6,0,0,1.0967254638671875e-05,10,8.702278137207031e-05,3
95,0.00010704994201660156,8,0.0003981590270996094,9,0,0,6.4849853515625e-05,40,0.00011420249938964844,8
96,8.893013000488281e-05,6,0.0002040863037109375,11,0,0,3.314018249511719e-05,23,0.00010895729064941406,6
97,5.1021575927734375e-05,3,0.0003840923309326172,4,0,0,6.794929504394531e-05,39,8.511543273925781e-05,3
98,3.719329833984375e-05,2,0.0005869865417480469,3,0,0,2.3126602172851562e-05,17,7.987022399902344e-05,2
99,8.487701416015625e-05,6,8.821487426757812e-05,7,0,0,1.1920928955078125e-05,13,0.00010704994201660156,6
100,9.417533874511719e-05,7,0.00021600723266601562,10,0,0,3.886222839355469e-05,30,0.0001201629638671875,7
101,0.00012803077697753906,7,0.0003960132598876953,10,0,0,5.3882598876953125e-05,37,0.0001270771026611328,7
102,7.295608520507812e-05,5,0.0005209445953369141,10,0,0,5.412101745605469e-05,36,0.00010585784912109375,5
103,5.0067901611328125e-05,3,0.00019812583923339844,4,0,0,1.8835067749023438e-05,16,8.416175842285156e-05,3
104,5.888938903808594e-05,4,0.0003459453582763672,5,0,0,4.100799560546875e-05,31,9.179115295410156e-05,4
105,6.604194641113281e-05,4,0.0002319812774658203,7,0,0,2.5987625122070312e-05,19,9.703636169433594e-05,4
106,3.695487976074219e-05,2,9.393692016601562e-05,3,0,0,5.0067901611328125e-06,4,7.891654968261719e-05,2
